,name,ECS,Psi,dPsi
0,$\Psi$ (K),,0.119540321945,0.01906204051
1,ACCESS1-0,3.8,0.206633226848,
2,CanESM2,3.7,0.155519897099,
3,CCSM4,2.9,0.176920122938,
4,CNRM-CM5,3.3,0.148400781284,
5,CSIRO-Mk3-6-0,4.1,0.193482053815,
6,GFDL-ESM2M,2.4,0.147232266015,
7,HadGEM2-ES,4.6,0.264174801499,
8,inmcm4,2.1,0.0659988833056,
9,IPSL-CM5B-LR,2.6,0.159879540027,
10,MIROC-ESM,4.7,0.214909857082,
11,MPI-ESM-LR,3.6,0.149511555525,
12,MRI-CGCM3,2.6,0.0909219582291,
13,NorESM1-M,2.8,0.129423973575,
14,bcc-csm1-1,2.8,0.167972189496,
15,GISS-E2-R,2.1,0.118046150488,
16,BNU-ESM,4.1,0.141071263916,
17,bcc-csm1-1-m,2.9,0.130741714711,
18,GISS-E2-H,2.3,0.0971041121366,
19,GFDL-ESM2G,2.4,0.181156567592,
20,IPSL-CM5A-LR,4.1,0.179804937103,
21,MIROC5,2.7,0.221125741663,
22,GFDL-CM3,4.0,0.324320871457,
