,name,ECS,Psi,dPsi
0,$\Psi$ (K),,0.155544555187,0.0283462215412
1,ACCESS1-0,3.8,0.259631181466,
2,CanESM2,3.7,0.228737399171,
3,CCSM4,2.9,0.222326984648,
4,CNRM-CM5,3.3,0.180857267097,
5,CSIRO-Mk3-6-0,4.1,0.260232960782,
6,GFDL-ESM2M,2.4,0.170706244077,
7,HadGEM2-ES,4.6,0.407935595026,
8,inmcm4,2.1,0.0735175422203,
9,IPSL-CM5B-LR,2.6,0.178830767126,
10,MIROC-ESM,4.7,0.274103558904,
11,MPI-ESM-LR,3.6,0.179935050125,
12,MRI-CGCM3,2.6,0.0985164749193,
13,NorESM1-M,2.8,0.172087959994,
14,bcc-csm1-1,2.8,0.260590283169,
15,GISS-E2-R,2.1,0.137338792778,
16,BNU-ESM,4.1,0.171344046965,
17,bcc-csm1-1-m,2.9,0.178044644785,
18,GISS-E2-H,2.3,0.130193109699,
19,GFDL-ESM2G,2.4,0.266282647958,
20,IPSL-CM5A-LR,4.1,0.259679377978,
21,MIROC5,2.7,0.270353270624,
22,GFDL-CM3,4.0,0.488368977164,
