,name,ECS,Psi,dPsi
0,$\Psi$ (K),,0.128353851676,0.016264170833
1,ACCESS1-0,3.8,0.22144716114,
2,CanESM2,3.7,0.167607758531,
3,CCSM4,2.9,0.185247974073,
4,CNRM-CM5,3.3,0.158116281147,
5,CSIRO-Mk3-6-0,4.1,0.209597641933,
6,GFDL-ESM2M,2.4,0.154358496687,
7,HadGEM2-ES,4.6,0.288003566846,
8,inmcm4,2.1,0.0678685623387,
9,IPSL-CM5B-LR,2.6,0.163594019653,
10,MIROC-ESM,4.7,0.229107612109,
11,MPI-ESM-LR,3.6,0.153251124806,
12,MRI-CGCM3,2.6,0.0918342929105,
13,NorESM1-M,2.8,0.138582012176,
14,bcc-csm1-1,2.8,0.186076501711,
15,GISS-E2-R,2.1,0.121798762782,
16,BNU-ESM,4.1,0.147074836745,
17,bcc-csm1-1-m,2.9,0.138845170214,
18,GISS-E2-H,2.3,0.103922591711,
19,GFDL-ESM2G,2.4,0.196441571935,
20,IPSL-CM5A-LR,4.1,0.196767186632,
21,MIROC5,2.7,0.234249201493,
22,GFDL-CM3,4.0,0.362525027074,
