,name,ECS,Psi,dPsi
0,$\Psi$ (K),,0.147051064895,0.0239400729211
1,ACCESS1-0,3.8,0.250510529844,
2,CanESM2,3.7,0.204573066487,
3,CCSM4,2.9,0.209723566903,
4,CNRM-CM5,3.3,0.175424602034,
5,CSIRO-Mk3-6-0,4.1,0.243931219821,
6,GFDL-ESM2M,2.4,0.16550113738,
7,HadGEM2-ES,4.6,0.366517596898,
8,inmcm4,2.1,0.0714980305271,
9,IPSL-CM5B-LR,2.6,0.172489879261,
10,MIROC-ESM,4.7,0.260575295835,
11,MPI-ESM-LR,3.6,0.167953599757,
12,MRI-CGCM3,2.6,0.0954136960298,
13,NorESM1-M,2.8,0.158313803948,
14,bcc-csm1-1,2.8,0.233072361158,
15,GISS-E2-R,2.1,0.132583773747,
16,BNU-ESM,4.1,0.163426185626,
17,bcc-csm1-1-m,2.9,0.162935673563,
18,GISS-E2-H,2.3,0.120303039382,
19,GFDL-ESM2G,2.4,0.23826747667,
20,IPSL-CM5A-LR,4.1,0.239090524363,
21,MIROC5,2.7,0.259754406524,
22,GFDL-CM3,4.0,0.450147092948,
