,name,ECS,Psi,dPsi
0,$\Psi$ (K),,0.106934802813,0.0214958199629
1,ACCESS1-0,3.8,0.191452026822,
2,CanESM2,3.7,0.140996057938,
3,CCSM4,2.9,0.168740566377,
4,CNRM-CM5,3.3,0.134592247616,
5,CSIRO-Mk3-6-0,4.1,0.172822256556,
6,GFDL-ESM2M,2.4,0.139205089729,
7,HadGEM2-ES,4.6,0.238822255967,
8,inmcm4,2.1,0.0627700956339,
9,IPSL-CM5B-LR,2.6,0.154107654252,
10,MIROC-ESM,4.7,0.200345033644,
11,MPI-ESM-LR,3.6,0.144888059271,
12,MRI-CGCM3,2.6,0.0896651543211,
13,NorESM1-M,2.8,0.118530098712,
14,bcc-csm1-1,2.8,0.14522401336,
15,GISS-E2-R,2.1,0.115573447239,
16,BNU-ESM,4.1,0.134765607781,
17,bcc-csm1-1-m,2.9,0.122490140803,
18,GISS-E2-H,2.3,0.0902777857527,
19,GFDL-ESM2G,2.4,0.161587316652,
20,IPSL-CM5A-LR,4.1,0.156741461418,
21,MIROC5,2.7,0.201152728739,
22,GFDL-CM3,4.0,0.281069195199,
