,name,ECS,Psi,dPsi
0,$\Psi$ (K),,0.115258887112,0.0199303353593
1,ACCESS1-0,3.8,0.200444423501,
2,CanESM2,3.7,0.149977918221,
3,CCSM4,2.9,0.173499040784,
4,CNRM-CM5,3.3,0.143634972162,
5,CSIRO-Mk3-6-0,4.1,0.186146018087,
6,GFDL-ESM2M,2.4,0.144292587125,
7,HadGEM2-ES,4.6,0.254544816668,
8,inmcm4,2.1,0.0650931431908,
9,IPSL-CM5B-LR,2.6,0.157790270479,
10,MIROC-ESM,4.7,0.209135910598,
11,MPI-ESM-LR,3.6,0.147816269637,
12,MRI-CGCM3,2.6,0.0904940933241,
13,NorESM1-M,2.8,0.125322968982,
14,bcc-csm1-1,2.8,0.159914540016,
15,GISS-E2-R,2.1,0.116844918718,
16,BNU-ESM,4.1,0.138755919277,
17,bcc-csm1-1-m,2.9,0.127598645906,
18,GISS-E2-H,2.3,0.0943245082586,
19,GFDL-ESM2G,2.4,0.173987390121,
20,IPSL-CM5A-LR,4.1,0.171815726952,
21,MIROC5,2.7,0.21368786549,
22,GFDL-CM3,4.0,0.308127974726,
