,name,ECS,Psi,dPsi
0,$\Psi$ (K),,0.140078112024,0.0207235976887
1,ACCESS1-0,3.8,0.24041871817,
2,CanESM2,3.7,0.188678761179,
3,CCSM4,2.9,0.200049560542,
4,CNRM-CM5,3.3,0.170084780284,
5,CSIRO-Mk3-6-0,4.1,0.232181835411,
6,GFDL-ESM2M,2.4,0.161917706395,
7,HadGEM2-ES,4.6,0.334158716127,
8,inmcm4,2.1,0.0701852450898,
9,IPSL-CM5B-LR,2.6,0.16872319824,
10,MIROC-ESM,4.7,0.247980475454,
11,MPI-ESM-LR,3.6,0.161149187348,
12,MRI-CGCM3,2.6,0.0937297111256,
13,NorESM1-M,2.8,0.151008720016,
14,bcc-csm1-1,2.8,0.214479579451,
15,GISS-E2-R,2.1,0.128771006593,
16,BNU-ESM,4.1,0.15736068569,
17,bcc-csm1-1-m,2.9,0.153465476033,
18,GISS-E2-H,2.3,0.113957735236,
19,GFDL-ESM2G,2.4,0.220775407797,
20,IPSL-CM5A-LR,4.1,0.223914191906,
21,MIROC5,2.7,0.250946736548,
22,GFDL-CM3,4.0,0.421896904053,
