,name,ECS,Psi,dPsi
0,$\Psi$ (K),,0.13655251103,0.018898726411
1,ACCESS1-0,3.8,0.234355252389,
2,CanESM2,3.7,0.18126849662,
3,CCSM4,2.9,0.195008907272,
4,CNRM-CM5,3.3,0.166660465874,
5,CSIRO-Mk3-6-0,4.1,0.225715677952,
6,GFDL-ESM2M,2.4,0.160047360103,
7,HadGEM2-ES,4.6,0.317457623179,
8,inmcm4,2.1,0.0695681700841,
9,IPSL-CM5B-LR,2.6,0.16700912366,
10,MIROC-ESM,4.7,0.24188537882,
11,MPI-ESM-LR,3.6,0.158374378373,
12,MRI-CGCM3,2.6,0.0930009949049,
13,NorESM1-M,2.8,0.147247829853,
14,bcc-csm1-1,2.8,0.205116836077,
15,GISS-E2-R,2.1,0.126468264471,
16,BNU-ESM,4.1,0.153999911862,
17,bcc-csm1-1-m,2.9,0.148491436788,
18,GISS-E2-H,2.3,0.110911049835,
19,GFDL-ESM2G,2.4,0.212605147863,
20,IPSL-CM5A-LR,4.1,0.21540805112,
21,MIROC5,2.7,0.246739686402,
22,GFDL-CM3,4.0,0.402585828358,
