,name,ECS,Psi,dPsi
0,$\Psi$ (K),,0.143701952625,0.0222460616466
1,ACCESS1-0,3.8,0.245607311323,
2,CanESM2,3.7,0.196627290063,
3,CCSM4,2.9,0.20492136535,
4,CNRM-CM5,3.3,0.172811998031,
5,CSIRO-Mk3-6-0,4.1,0.238323742843,
6,GFDL-ESM2M,2.4,0.163802463817,
7,HadGEM2-ES,4.6,0.35001678663,
8,inmcm4,2.1,0.0708587017898,
9,IPSL-CM5B-LR,2.6,0.170650775476,
10,MIROC-ESM,4.7,0.254334702209,
11,MPI-ESM-LR,3.6,0.164442201182,
12,MRI-CGCM3,2.6,0.0945610250498,
13,NorESM1-M,2.8,0.154514052173,
14,bcc-csm1-1,2.8,0.223495002785,
15,GISS-E2-R,2.1,0.130999307224,
16,BNU-ESM,4.1,0.16056849365,
17,bcc-csm1-1-m,2.9,0.157991986856,
18,GISS-E2-H,2.3,0.117058185832,
19,GFDL-ESM2G,2.4,0.229499083944,
20,IPSL-CM5A-LR,4.1,0.231732576988,
21,MIROC5,2.7,0.254886597878,
22,GFDL-CM3,4.0,0.436949632865,
