,name,ECS,Psi,dPsi
0,$\Psi$ (K),,0.157970187828,0.0295478583919
1,ACCESS1-0,3.8,0.261176945202,
2,CanESM2,3.7,0.237099746517,
3,CCSM4,2.9,0.226361487145,
4,CNRM-CM5,3.3,0.182066048844,
5,CSIRO-Mk3-6-0,4.1,0.266146294867,
6,GFDL-ESM2M,2.4,0.1727166372,
7,HadGEM2-ES,4.6,0.422779498941,
8,inmcm4,2.1,0.0742269044577,
9,IPSL-CM5B-LR,2.6,0.181326837982,
10,MIROC-ESM,4.7,0.277226652255,
11,MPI-ESM-LR,3.6,0.184787296596,
12,MRI-CGCM3,2.6,0.0995938644656,
13,NorESM1-M,2.8,0.177104689227,
14,bcc-csm1-1,2.8,0.269213145377,
15,GISS-E2-R,2.1,0.139209070156,
16,BNU-ESM,4.1,0.173592808811,
17,bcc-csm1-1-m,2.9,0.183395842533,
18,GISS-E2-H,2.3,0.133354416598,
19,GFDL-ESM2G,2.4,0.275570785707,
20,IPSL-CM5A-LR,4.1,0.265473174525,
21,MIROC5,2.7,0.273040774869,
22,GFDL-CM3,4.0,0.500229988413,
