,name,ECS,Psi,dPsi
0,$\Psi$ (K),,0.152902256547,0.0271779131589
1,ACCESS1-0,3.8,0.257256873568,
2,CanESM2,3.7,0.221181656819,
3,CCSM4,2.9,0.218336328867,
4,CNRM-CM5,3.3,0.179470206735,
5,CSIRO-Mk3-6-0,4.1,0.254606084703,
6,GFDL-ESM2M,2.4,0.168850405574,
7,HadGEM2-ES,4.6,0.395487585411,
8,inmcm4,2.1,0.0727835200964,
9,IPSL-CM5B-LR,2.6,0.17657093472,
10,MIROC-ESM,4.7,0.270672940099,
11,MPI-ESM-LR,3.6,0.175705104803,
12,MRI-CGCM3,2.6,0.0973919458108,
13,NorESM1-M,2.8,0.16726010484,
14,bcc-csm1-1,2.8,0.251798078033,
15,GISS-E2-R,2.1,0.13568578658,
16,BNU-ESM,4.1,0.168941694495,
17,bcc-csm1-1-m,2.9,0.172822413505,
18,GISS-E2-H,2.3,0.127182092154,
19,GFDL-ESM2G,2.4,0.257020980083,
20,IPSL-CM5A-LR,4.1,0.252929394648,
21,MIROC5,2.7,0.267082372783,
22,GFDL-CM3,4.0,0.475106020772,
