,name,ECS,Psi,dPsi
0,$\Psi$ (K),,0.123832469847,0.0172316135082
1,ACCESS1-0,3.8,0.213734551674,
2,CanESM2,3.7,0.161386074336,
3,CCSM4,2.9,0.180764097215,
4,CNRM-CM5,3.3,0.153200830871,
5,CSIRO-Mk3-6-0,4.1,0.201489565969,
6,GFDL-ESM2M,2.4,0.150649473037,
7,HadGEM2-ES,4.6,0.275284291749,
8,inmcm4,2.1,0.0669007421063,
9,IPSL-CM5B-LR,2.6,0.161858689352,
10,MIROC-ESM,4.7,0.221801985164,
11,MPI-ESM-LR,3.6,0.151291905007,
12,MRI-CGCM3,2.6,0.0912699237758,
13,NorESM1-M,2.8,0.133879093556,
14,bcc-csm1-1,2.8,0.176651820005,
15,GISS-E2-R,2.1,0.119652508153,
16,BNU-ESM,4.1,0.143969155408,
17,bcc-csm1-1-m,2.9,0.134354948111,
18,GISS-E2-H,2.3,0.100204922546,
19,GFDL-ESM2G,2.4,0.18862989236,
20,IPSL-CM5A-LR,4.1,0.187991684723,
21,MIROC5,2.7,0.227032235333,
22,GFDL-CM3,4.0,0.342489491217,
