,name,ECS,Psi,dPsi
0,$\Psi$ (K),,0.132660805618,0.0173543199815
1,ACCESS1-0,3.8,0.228043387196,
2,CanESM2,3.7,0.174027085008,
3,CCSM4,2.9,0.190088234302,
4,CNRM-CM5,3.3,0.162587296618,
5,CSIRO-Mk3-6-0,4.1,0.218013972401,
6,GFDL-ESM2M,2.4,0.157580661744,
7,HadGEM2-ES,4.6,0.301550079192,
8,inmcm4,2.1,0.0687751738696,
9,IPSL-CM5B-LR,2.6,0.165139858717,
10,MIROC-ESM,4.7,0.235586235796,
11,MPI-ESM-LR,3.6,0.155801167801,
12,MRI-CGCM3,2.6,0.0924582132779,
13,NorESM1-M,2.8,0.143124176957,
14,bcc-csm1-1,2.8,0.195570064242,
15,GISS-E2-R,2.1,0.124118071023,
16,BNU-ESM,4.1,0.150502880541,
17,bcc-csm1-1-m,2.9,0.143628204746,
18,GISS-E2-H,2.3,0.107633188078,
19,GFDL-ESM2G,2.4,0.204440555294,
20,IPSL-CM5A-LR,4.1,0.206029040041,
21,MIROC5,2.7,0.241557315143,
22,GFDL-CM3,4.0,0.383046580412,
